Product Level 4,Brand Level 4,Brand Level 2,Product Name,average,growth,returnPercent,returnUnits,tAct,thAct,fAct,sAct,mAct,tSug,thSug,fSug,sSug,mSug,totalAct,totalSug
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,ABO WHOLE GRAINS,,142,10.03,8.58,12,30,30,10,52,42,20,20,10,50,42,164,142
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,ABO WHOLE GRAINS,OR 12 GRAIN WP 24Z,29,8.67,2.56,1,10,10,0,10,10,0,10,0,10,10,40,30
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,ABO WHOLE GRAINS,OR ANCTGRN&RSEED 24Z,2,100.00,0.00,0,0,0,0,2,2,0,0,0,0,2,4,2
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,ABO WHOLE GRAINS,OR HEALTHNUT BRD 24Z,22,-17.61,6.87,2,0,0,0,10,10,0,0,0,10,10,20,20
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,ABO WHOLE GRAINS,OR OATNUT BREAD 24Z,68,20.15,1.59,1,20,10,10,20,10,20,10,10,20,10,70,70
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,ABO WHOLE GRAINS,OR WG 100%WW WP 24Z,21,11.11,42.40,9,0,10,0,10,10,0,0,0,10,10,30,20
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,AR ITALIAN,,6,-33.66,25.37,1,0,0,0,0,7,0,0,0,0,7,7,7
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,AR ITALIAN,OROWEAT ITALIAN 20OZ,6,-33.66,25.37,1,0,0,0,0,7,0,0,0,0,7,7,7
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,AR-OR HEALTHFUL BRDS,,22,58.58,46.64,10,8,0,0,13,0,8,0,0,13,0,21,21
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,AR-OR HEALTHFUL BRDS,OR HLF NUTS&SEED 20Z,6,100.00,73.68,5,2,0,0,4,0,2,0,0,4,0,6,6
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,AR-OR HEALTHFUL BRDS,OR HLF STLCUT OAT20Z,7,100.00,61.25,4,3,0,0,4,0,3,0,0,4,0,7,7
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,AR-OR HEALTHFUL BRDS,OR HLTHF FLAX&SF 20Z,9,100.00,17.86,2,3,0,0,5,0,3,0,0,5,0,8,8
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,AR-OR HEALTHFUL BRDS,OR HLTHF NUTTYGRNS24,0,-100.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,CINNABON BREAD,,5,1.89,107.41,5,0,0,0,0,14,0,0,0,0,14,14,14
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,CINNABON BREAD,CINNABON BRD16Z,5,1.89,107.41,5,0,0,0,0,14,0,0,0,0,14,14,14
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,ORO RYE BREAD,,14,-17.26,63.19,9,0,0,0,0,36,0,0,0,0,36,36,36
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,ORO RYE BREAD,JEWISH RYE,9,-15.27,29.73,3,0,0,0,0,12,0,0,0,0,12,12,12
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,ORO RYE BREAD,RUSSIAN RYE,0,-86.96,"1,100.00",3,0,0,0,0,12,0,0,0,0,12,12,12
SLICED BREAD,ARNOLD-BRWNBRY-OROWT,ORO RYE BREAD,SWARZ DARK RYE16,4,13.95,75.51,3,0,0,0,0,12,0,0,0,0,12,12,12
